id,name,brewery_type,address_1,address_2,address_3,city,state_province,postal_code,country,phone,website_url,longitude,latitude
f5e23510-be1e-4fbe-bbeb-175a25bf2412,Bierbrouwerij St. Christoffel,micro,Metaalweg 10,,,Roermond,Limburg,6045 JB,Netherlands,+31 0475 341 447,http://www.christoffelbieren.com/,6.0504787,51.16865629999999
b5c379e4-7d8a-4df5-9002-086a1756ef6e,Brand Bierbrouwerij,regional,Brouwerijstraat 2,,,Wijlre,Limburg,6321 AG,Netherlands,+31 0800 0244321,https://www.brand.nl/,5.8940572,50.8306858
45e0ccba-51f2-46eb-899a-d5f31ea4d1c4,Brouwerij De Natte Gijt,micro,Julianalaan 54,,,Weert,Limburg,6006 AP,Netherlands,+31 06 45002670,,5.7071844,51.2470614
1a63ad19-ca05-4b9f-9aa6-6780ef41179d,De Ridder Brewery,regional,Oeverwal 9,,,Maastricht,Limburg,6221 EN,Netherlands,,,5.697515999999999,50.8499881
e29c2258-cfe5-46af-87bc-cf58d9d924b9,Gulpener Bierbrouwerij,regional,Rijksweg 16,,,Gulpen,Limburg,6271 AE,Netherlands,+31 043 450 7575,http://www.gulpener.nl/,5.8907412,50.8143644
bd07d5cc-99d9-49e8-9e3c-a03bf3f9f281,Hertog Jan Brouwerij,regional,Kruisweg 44,,,Arcen,Limburg,5944 EN,Netherlands,+31 077 473 6081,https://www.hertogjan.nl/,6.1733489,51.4862376
70ef1083-9b83-4ef1-8870-fdd58cefd97d,Lindeboom Brouwerij,regional,Engelmanstraat 54,,,Neer,Limburg,6086 BD,Netherlands,+31 0475 592 900,http://www.lindeboom.nl/,5.9832,51.25783999999999
