id,name,brewery_type,address_1,address_2,address_3,city,state_province,postal_code,country,phone,website_url,longitude,latitude
de6206d7-9bc0-4721-831d-5736fdcecff1,Brouwerij De Koperen Kat,micro,Schieweg 15,,,Delft,Zuid-Holland,2627 AN,Netherlands,+31 06 42123398,https://www.dekoperenkat.nl/,4.3674291,51.9949092
97dc5659-a6ab-4765-9cf6-39494e821fd2,Brouwerij de Molen,micro,Overtocht 43,,,Bodegraven,Zuid-Holland,2411 BT,Netherlands,+31 0172 610 848,https://www.brouwcafedemolen.nl/,4.7420895,52.0857214
3d1a38fc-e10d-43b4-a9c2-dd7d0a3c34f3,Brouwerij Klein Duimpje,micro,Hyacintenlaan 2A,,,Hillegom,Zuid-Holland,2182 DE,Netherlands,+31 0252 531 186,https://kleinduimpje.nl/,4.5698523,52.2790299
bc3bb1d0-ee89-49ed-8778-dd00785a3040,Brouwerij Kwartje,micro,Zamenhofstraat 90,,,Den Haag,Zuid-Holland,2518 LB,Netherlands,,,4.2921562,52.0739457
183fae97-2e00-435b-a7aa-b12aa5a55236,Brouwerij Noordt,micro,Zaagmolenkade 46,,,Rotterdam,Zuid-Holland,3035 KA,Netherlands,+31 010 223 0566,http://www.brouwerijnoordt.nl/,4.4866771,51.9332923
7bad5892-dadf-4487-9b88-87fdfb562d6e,Het Brouwcafe,brewpub,Dr. Lelykade 28,,,Den Haag,Zuid-Holland,2583 CM,Netherlands,+31 070 354 0970,http://www.dehofnar.nl/,4.271861599999999,52.099884
880e705b-d8bc-4463-be77-4686268b3961,Kaapse Brouwers,micro,Nico Koomanskade 1025,,,Rotterdam,Zuid-Holland,3072 LM,Netherlands,+31 06 18417773,https://www.kaapsebrouwers.nl/en/splash-kaap-en/,4.4867529,51.9020324
6c5eac6b-beab-4de1-9e12-a8f714727b04,Kompaan Bier,micro,Saturnusstraat 55,,,Den Haag,Zuid-Holland,2516 AE,Netherlands,+31 06 43442048,https://kompaanbier.nl/bars/thuishaven-binckhorst/,4.3462556,52.0671662
42b97569-abe6-49e1-8791-37682e0b9243,Stadsbrouwerij de Pelgrim,brewpub,Aelbrechtskolk 12,,,Rotterdam,Zuid-Holland,3024 RD,Netherlands,+31 010 477 1189,https://www.pelgrimbier.nl/,4.448939000000001,51.908737
